job_title,industry,location,type,minimum_job_year,needed,company_name,Requirements,
SOFTWARE QUALITY ASSURANCE (MANUAL / AUTOMATION),Jasa dan Konsultan IT,Yogyakarta,Contract,1,1,PT. Skyshi Digital Indonesia,"We are seeking candidates with a minimum of two years of proven work experience in software quality assurance, demonstrating their ability to create comprehensive and clear software documentation. The ideal candidate should possess a strong understanding of software QA methodologies, along with proficiency in tools such as Selenium and Katalon, and a solid grasp of the QA process. A deep knowledge of SQL and scripting is essential for effective analysis and issue troubleshooting. Familiarity with continuous integration and continuous deployment (CI/CD) processes is considered a significant advantage.",
FRONTEND DEVELOPER (REACTJS),Jasa dan Konsultan IT,Yogyakarta,Contract,1,1,PT. Skyshi Digital Indonesia,"We are looking for candidates who are experienced in either JavaScript or ReactJS, preferably with any framework. A minimum of two years of relevant working experience is required for this position. Strong logical and analytical skills, along with excellent communication abilities, are essential; fluency in written and spoken English is a bonus. Proficiency in source code management using Git is required. The ideal candidate should be capable of working collaboratively within a team environment using agile and waterfall methodologies. The role offers flexibility in terms of onsite, hybrid, or remote work arrangements based in Yogyakarta.",
BACKEND DEVELOPER (NODEJS),Jasa dan Konsultan IT,Yogyakarta,Contract,1,1,PT. Skyshi Digital Indonesia,"We're seeking candidates with experience in either JavaScript or NodeJS, preferably with any framework. A minimum of two years of related work experience is necessary. Strong logical, analytical, and communication skills are essential, with fluency in English being a bonus. Proficiency in source code management using Git is required, and the ability to collaborate within a team using agile methodologies is a must. This position offers flexibility for onsite, hybrid, or remote work arrangements based in Yogyakarta.",
BACKEND DEVELOPER (GOLANG),Jasa dan Konsultan IT,Yogyakarta,Contract,1,1,PT. Skyshi Digital Indonesia,"We're looking for candidates experienced in Go Gin, Fiber, or Echo Labstack frameworks with strong proficiency in the Go programming language. A minimum of two years of relevant working experience is required for this position. The role offers flexibility for onsite, hybrid, or remote work arrangements based in Yogyakarta.",
Fullstack Developer (Internship),Consultant IT,Malang,Intern,0,2,PT Sekawan Media Informatika,"We are open to applications from final-year students or recent graduates majoring in Informatics, Information Systems, or Information Technology. Active last-year students are also encouraged to apply. Candidates should have their personal laptop and a strong understanding of Front End Languages such as HTML, CSS, and Javascript. Knowledge of PHP and a grasp of Object-Oriented Programming (OOP) concepts are required. Familiarity with databases like MySQL and PostgreSQL is necessary. Experience with frameworks like Laravel & NodeJS and an understanding of RESTful principles would be a valuable asset. The position requires a commitment to intern on-site in Malang for a minimum of four months.",
Project Administrator & Support (Full-time),Consultant IT,Malang,Full-time,1,1,PT Sekawan Media Informatika,"We welcome candidates from all levels of education, including those majoring in Computer Science, Computer Engineering, Information Systems, or related fields. An understanding of project management and attention to detail are essential for this role. Strong interpersonal and communication skills, along with excellent organizational abilities, are required. Proficiency in Microsoft Office, Google Workspace, and Notion is preferred. The position requires willingness to work on-site in Malang, Jawa Timur.",
Fullstack Developer (Internship),Consultant IT,Malang,Intern,0,2,PT Sekawan Media Informatika,"We are actively seeking final-year students or recent graduates majoring in Informatics, Information Systems, or Information Technology, with a special welcome to active last-year students. Candidates should have their personal laptop and a strong grasp of Front End Languages such as HTML, CSS, and Javascript. Additionally, knowledge of PHP and a solid understanding of Object-Oriented Programming (OOP) concepts are required. Familiarity with databases like MySQL and PostgreSQL is necessary. Candidates with experience in Frameworks like Laravel & NodeJS and an understanding of RESTful principles are preferred. This internship opportunity requires a commitment to work on-site in Malang for a minimum of four months.",
Marketing (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"We're looking for final-year students or recent graduates majoring in Marketing, Business Administration, Management, Communication, or related fields. Candidates should have their own laptop and be proficient in Microsoft Office and Google Workspace. Basic knowledge of the sales and marketing process is required. This internship opportunity involves a commitment to work on-site in Malang for at least four months.",
SEO Specialist (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"We are seeking candidates with a maximum age preference below 25 years old and a minimum education level of SMK/D1/D3/S1/Fresh Graduate. The ideal candidate should demonstrate the ability to work effectively both within a team and independently. Keeping up to date with Google Algorithm changes is essential for this role. Proficiency in using Excel/sheet, Ahrefs, Screaming Frog, Semrush, Google Search Console (GSC), Google Analytics (GA), and all Google tools is required. Strong data analysis skills are also necessary. This internship requires a commitment to work on-site in Malang for a minimum of four months.",
Software Developer,IT services & IT consulting,Tangerang,Full-time,1,1,Agile Technica,"We are looking for candidates with a Bachelor's Degree in Computer Science or Software Engineering and at least 2 years of experience, though Senior Developers are also welcome to apply. Familiarity with at least one programming language, such as Python or Javascript, is required. Candidates should have a good understanding of web application development and a passion for cloud technologies, with a willingness to learn new technologies. The ability to work independently and confidently, as well as being comfortable reading and writing in English, is crucial. We value team players who are eager to learn and open to constructive feedback.",
Content Writer (Intern),Consultant IT,Malang,Intern,0,2,PT Sekawan Media Informatika,"Kami mencari kandidat dengan minimal pendidikan SMK/D1/D3/S1/Fresh Graduate, yang mampu menulis artikel dengan baik di halaman blog. Memiliki pemahaman tentang SEO akan menjadi nilai tambah, begitu juga kemampuan menggunakan platform WordPress. Kemampuan berbahasa Inggris yang baik, baik secara lisan maupun tulisan, sangat dihargai. Kandidat harus memiliki laptop pribadi dan bersedia ditempatkan di Kota Malang selama minimal 4 (empat) bulan. Kemampuan bekerja dalam tim maupun individu juga penting.",
Project Administrator (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"Kami membuka peluang bagi mereka yang memiliki pendidikan minimal SMA/SMK sederajat, D3/S1 dari semua jurusan untuk bergabung. Kandidat harus memiliki laptop pribadi dan siap menjalani magang selama minimal 4 bulan dengan penempatan di Kota Malang. Kemampuan untuk bekerja baik secara individu maupun dalam tim sangat dihargai. Kemahiran berbahasa Inggris yang cukup, baik secara lisan maupun tulisan, juga diperlukan. Kandidat diharapkan menguasai berbagai program Microsoft Office, memiliki kemampuan komunikasi yang baik, dan mampu membuat dokumen sesuai kebutuhan proyek.",
Tech Writer (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"Kami membuka kesempatan bagi mereka yang memiliki pendidikan minimal SMA/SMK sederajat, D3/S1 dari semua jurusan, khususnya dari latar belakang Informatika/Sistem Informasi, untuk bergabung. Kandidat diharapkan memiliki laptop pribadi dan bersedia menjalani magang selama minimal 4 bulan dengan penempatan di Kota Malang. Kemampuan untuk bekerja baik secara individu maupun dalam tim sangat dihargai. Kemahiran berbahasa Inggris yang cukup, baik secara lisan maupun tulisan, juga diperlukan. Kandidat diharapkan menguasai berbagai program Microsoft Office, memiliki kemampuan komunikasi yang baik, dan mampu membuat dokumen sesuai kebutuhan proyek. Selain itu, pengetahuan dan keterampilan dalam teknologi komputer, bahasa pemrograman, dan teknik pengolahan data sangat diutamakan. Kandidat diharapkan memiliki keterampilan dalam menggunakan alat dan teknik untuk mengembangkan aplikasi software dan hardware, teknologi komunikasi data, bahasa-bahasa pemrograman, dan sistem operasi. Pengetahuan tentang pengguna atau bisnis secara umum juga menjadi nilai tambah. Kemampuan mengoperasikan draw.io dan Figma juga sangat dihargai.",
Copywriter (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"Kami mencari kandidat dengan pendidikan minimal SMK/D1/D3/S1, terutama dari latar belakang jurusan Pemasaran, Informatika, Bahasa/Sastra, dan jurusan lain yang relevan. Kandidat harus memiliki laptop pribadi dan siap ditempatkan di Kota Malang selama minimal 4 bulan. Kemahiran dalam menguasai Microsoft Office dan Google Workspace sangat diharapkan.  Selain itu, kandidat diharapkan memiliki pengetahuan tentang teknik copywriting dan kemampuan menulis yang baik. Kemampuan berkomunikasi dalam bahasa Inggris, baik secara lisan maupun tulisan, juga diperlukan. Memahami cara penulisan konten untuk berbagai media/channel, membuat perancangan konten media sosial, iklan, dan materi pemasaran yang kreatif juga menjadi nilai tambah. Pengetahuan dan wawasan di bidang teknologi dan digital, serta pemahaman tentang media produksi dan komunikasi terkait dengan teknik dan metode penyebarannya, akan menjadi keuntungan tersendiri.",
System Analyst (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"Kami membuka kesempatan bagi laki-laki dan perempuan dengan usia maksimal 30 tahun, pendidikan minimal D1/D3/S1 dari jurusan Informatika/Sistem Informasi. Kandidat harus memiliki laptop pribadi dan bersedia ditempatkan di Kota Malang untuk magang minimal 3 bulan. Kemampuan untuk bekerja baik dalam tim maupun individu sangat dihargai. Kandidat diharapkan memiliki pengetahuan dan keterampilan dalam teknologi komputer, bahasa pemrograman, dan teknik pengolahan data. Keterampilan dalam menggunakan alat dan teknik untuk mengembangkan aplikasi software dan hardware, teknologi komunikasi data, bahasa-bahasa pemrograman, dan sistem operasi juga diutamakan. Pengetahuan tentang metode kuantitatif dan pengguna atau bisnis secara umum akan menjadi nilai tambah. Kemampuan untuk menganalisis masalah dan memberikan solusi, serta memiliki kemampuan analisis dan berpikir logis, sangat diharapkan. Kandidat juga diharapkan memiliki kemampuan memoperasikan draw.io, Power Designer, dan Figma sebagai keuntungan tambahan.",
Assistant Project Manager (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"Kami mencari kandidat dengan pendidikan minimal SMK/D1/D3/S1, terutama dari jurusan Informatika/Sistem Informasi, yang memiliki laptop pribadi dan bersedia ditempatkan di Kota Malang untuk magang minimal 6 bulan. Kemampuan untuk bekerja baik dalam tim maupun individu sangat dihargai, dengan pemahaman yang baik mengenai Business Process Diagram dan konsep SCRUM. Kemampuan komunikasi yang baik sangat diperlukan, serta memiliki komitmen tinggi untuk menyelesaikan proyek sesuai dengan strategi, prosedur, dan tujuan perusahaan. Kemampuan dalam menyusun proses perencanaan dengan optimal dan melakukan pencatatan yang tepat dan efektif juga menjadi nilai tambah yang diharapkan dari kandidat.",
Web Developer,IT,Malang,Full-time,0,10,CV. INDOSOFT,,
Product Owner,IT Consultant,Jakarta Pusat,Contract,1,10,PT Evolusi Teknologi Sukses (EVOTEKS),"We're looking for a Project Manager/Product Owner with a minimum of 3 years' experience in banking, fin-tech, or related fields, preferably within financial technology. Your role will involve managing projects from start to finish, acting as the Product Owner, collaborating with teams, and ensuring compliance and timely delivery. Strong organizational skills, attention to detail, and familiarity with project management methodologies are essential, alongside a willingness to work onsite in financial services.",
Business Analyst,IT Consultant,Jakarta Pusat,Contract,1,10,PT Evolusi Teknologi Sukses (EVOTEKS),"Kami mencari seorang kandidat yang memiliki latar belakang pendidikan di bidang Teknik Informatika, Ilmu Komputer, Sistem Informasi, atau bidang terkait dengan Indeks Prestasi Kumulatif (IPK) minimal 3,00. Anda diharapkan memiliki pengalaman minimal 3 tahun sebagai Business Analyst, mampu menguasai alat pelaporan seperti Jira, Miro, Airtable, dan Visio, serta memahami arsitektur web dan mobile. Jika Anda memenuhi kriteria ini, kami mengundang Anda untuk melamar posisi ini dan bergabung dengan tim kami.",
IT Helpdesk,IT Consultant,Jakarta Pusat,Contract,1,10,PT Evolusi Teknologi Sukses (EVOTEKS),"Kami mencari kandidat dengan pendidikan minimal S1 di bidang Teknik Informatika, Ilmu Komputer, atau Sistem Informatika, serta memiliki pengalaman minimal 3 tahun di IT Helpdesk dan bersedia bekerja secara shifting. Anda diharapkan memiliki keterampilan yang baik dalam SQL Server, Visual Basic, Crystal Report, dan Visual Studio, serta mampu belajar dengan cepat, berkomunikasi dengan baik, dan berorientasi pada target. Kemampuan pemecahan masalah yang baik, pengetahuan tentang sistem operasi (Windows, Linux, atau macOS) dan perangkat keras komputer, serta pemahaman tentang aplikasi perangkat lunak umum dan perbankan juga diperlukan. Kemampuan komunikasi yang baik, pelayanan pelanggan yang ramah, dan kemampuan bekerja di bawah tekanan akan menjadi nilai tambah untuk posisi ini. Jika Anda memenuhi syarat ini, kami mengundang Anda untuk melamar posisi ini dan menjadi bagian dari tim kami.",
Mobile Developer,IT Consultant,Jakarta Pusat,Contract,1,10,PT Evolusi Teknologi Sukses (EVOTEKS),"We're seeking candidates with a Bachelor's Degree in IT, Technology, or a related Science field, with a minimum of 2 years of experience as a Mobile Developer or in a related role. You should have hands-on experience in developing mobile applications using React Native, Java, Kotlin, Swift, and Flutter, along with proficiency in JavaScript, TypeScript, Redux, Redux Saga, Redux Toolkit, REST API, and Axios. Understanding of Atomic Design, Responsive design, and SOLID principles is essential, as well as knowledge of Firebase tools. The role requires willingness to work in the Jabodetabek area and in Banking or Finance Institutions. Strong communication skills, teamwork, and a hard-working attitude are also important attributes we are looking for in potential candidates. If you meet these qualifications, we invite you to apply for this position and join our team.",
Software Quality Assurance,IT Consultant,Jakarta Pusat,Contract,1,20,PT Evolusi Teknologi Sukses (EVOTEKS),"Kami mencari kandidat dengan pendidikan minimal S1 di bidang Teknik Informatika, Ilmu Komputer, Sistem Informatika, atau bidang terkait yang relevan. Anda diharapkan memiliki pengalaman minimal 1 tahun sebagai Quality Assurance Tester dan telah mengikuti pelatihan atau workshop mengenai pengujian manual perangkat lunak. Memahami Siklus Hidup Pengembangan Perangkat Lunak (SDLC) juga diperlukan. Kemampuan berbahasa Inggris yang lancar dalam berbicara, membaca, dan menulis lebih disukai untuk posisi ini. Jika Anda memenuhi persyaratan ini, kami mengundang Anda untuk melamar posisi ini dan bergabung dengan tim kami.",
Outsystems Developer,IT Consultant,Jakarta Pusat,Contract,1,20,PT Evolusi Teknologi Sukses (EVOTEKS),"We're seeking candidates with a Bachelor of Science degree in Computer Science, Information Technology, Engineering, or a related field, for both junior (1-2 years) and mid-level (3-5 years) roles in software application development on OutSystems. Familiarity with HTML, CSS, JavaScript, .Net, Java, C#, JQuery, or similar technologies is preferred, along with at least 1 year of experience on OutSystems or a similar Low Code Application Platform, building business logic via API, and developing web applications. Knowledge of UI/UX design principles, SQL language, CI/CD pipelines, and experience with JIRA are also required. If you fit these criteria, we encourage you to apply and join our team.",
RPA Developer,IT Consultant,Jakarta Pusat,Contract,1,10,PT Evolusi Teknologi Sukses (EVOTEKS),"We're looking for candidates with a Bachelor's or Master's degree in Computer Science, Information Technology, or a related field, along with 1-3 years of experience in UiPath development and automation. Candidates should have completed UiPath academy for fundamental and advanced certification, demonstrated experience in designing and developing automation processes, bots, and workflows using UiPath, and possess a strong proficiency in JSON, VBA, or other programming languages. Experience in integrating automation processes with other systems and applications, strong analytical and problem-solving skills, and excellent communication and collaboration abilities to work effectively in cross-functional teams and provide customized solutions to clients are also required. If you meet these qualifications, we encourage you to apply and be part of our team.",
Full-Stack Developer,IT Consultant,Jakarta Pusat,Contract,1,20,PT Evolusi Teknologi Sukses (EVOTEKS),"We are seeking candidates with a Bachelor's degree in Computer Science, Information Technology, or a related field with a minimum GPA of 3.00, along with 1-2 years of experience. Ideal candidates should have a general understanding of banking journals, especially for tellers and DPK, ISO 8583, web services, financing, and securities, as well as a grasp of digital payment concepts. Proficiency in programming languages such as Java, Python, C#, JavaScript, SQL, Ruby, PHP, and Go is essential, with a preference for at least 1 year of experience in using Backbone.js or JavaScript, PHP version 7 or maximum 8 (Native, CI, Laravel), and MySQL/SQL Server. Knowledge of banking frameworks or platforms, software design principles, common design patterns, good communication skills, and effective teamwork abilities are also highly desired. If you meet these qualifications, we invite you to apply and join our team.",
SEO Specialist (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"We are looking for candidates below 25 years old, with a minimum education level of SMK/D1/D3/S1 or as a Fresh Graduate, who possess the ability to work effectively within a team or independently. Candidates should stay updated with Google Algorithm changes, be familiar with tools like Excel/Google Sheets, Ahrefs, Screaming Frog, Semrush, Google Search Console (GSC), Google Analytics (GA), and other Google tools. Good data analysis skills are essential for this role. Additionally, candidates must be willing to intern for a minimum of four months on-site in Malang. If you meet these requirements, we encourage you to apply for this position.",
Backend Developer (Internship),Consultant IT,Malang,Intern,0,2,PT Sekawan Media Informatika,"We're open to candidates from all levels of education, majoring in Computer Science, Computer Engineering, Information Systems, or related fields. You should have a good understanding of PHP and Object-Oriented Programming (OOP) Paradigm, along with familiarity with databases like MySQL and PostgreSQL. Knowledge of frameworks like Laravel/CodeIgniter & NodeJS and understanding RESTful APIs would be a plus. It's important to understand git-flow and have experience with GitHub, as well as a general understanding of software development principles. Candidates should also be willing to intern for a minimum of four months on-site in Malang. If you meet these qualifications, we encourage you to apply for this position.",
Backend Developer (Full-time),Consultant IT,Malang,Full-time,1,2,PT Sekawan Media Informatika,"We welcome applicants from diverse educational backgrounds, ranging from Computer Science to Computer Engineering, Information Systems, or related fields. Proficiency in PHP with a solid grasp of Object-Oriented Programming (OOP) principles is essential. Candidates should also possess familiarity with databases such as MySQL and PostgreSQL. Experience with frameworks like Laravel/CodeIgniter and NodeJS, coupled with a comprehension of RESTful architecture, is considered advantageous. Understanding git-flow and having proficiency in GitHub are additional requirements. Prior experience in software development is preferred, and candidates should be open to on-site work in Malang, Jawa Timur.",
System Analyst (Full-time),Consultant IT,Malang,Full-time,1,1,PT Sekawan Media Informatika,"We invite candidates from various educational backgrounds, including Computer Science, Computer Engineering, Information Systems, or related fields, regardless of their level of education. Strong written and verbal communication skills are essential. Proficiency in creating User Flow, Use Case, and Roadmap is required, alongside familiarity with implementing BPMN, Flowchart, CDM, and PDM. Candidates should have hands-on experience in installing, configuring, documenting, testing, training, and implementing new applications and systems. Previous work with information technology and system analysis is advantageous. Flexibility to work on-site in Malang, Jawa Timur, is expected.",
Backend Engineer - Node.Js (BE),Technology Consultant,Jakarta Pusat,Contract,1,2,Nomura Research Institute Indonesia,"Candidates should possess strong proficiency in TypeScript and a solid understanding of Node.js and frameworks within its ecosystem. Experience in developing backend systems using the NestJS Framework is crucial. Additionally, candidates should have a background in working with relational databases, particularly PostgreSQL, and be adept at creating unit tests using Jest, Mocha, or Jasmine. Proficiency in using Git is required, along with familiarity with Dependency Injection and/or Inversion of Control (IoC). Knowledge of Docker is also desirable.",
Frontend Engineer - React (FE),Technology Consultant,Jakarta Pusat,Contract,1,2,Nomura Research Institute Indonesia,"Candidates should demonstrate a strong proficiency in JavaScript and/or TypeScript, alongside outstanding skills in React and React Native. They should possess a deep understanding of user-friendly experience and interface design, paying meticulous attention to details, and proficiency in HTML5, SASS/SCSS, React Native Styling, and animation. Extensive knowledge of using RESTful and/or GraphQL APIs is essential, as well as proficiency in unit testing. Experience with Redux and Redux SAGA is required, along with proficiency in using Git for version control.",
UI/UX Designer (UI/UX),Technology Consultant,Jakarta Pusat,Contract,1,2,Nomura Research Institute Indonesia,"Candidates should bring substantial experience in end-to-end interface design within software/web technologies, showcasing strong aesthetic, conceptual, and design communication skills. They should be highly proficient in visual design, encompassing UI, Icon, Illustration, and Prototyping across various platforms, and have experience in building and implementing design systems. Proficiency with design and prototyping software such as Sketch, XD, Figma, or Framer is required. Additionally, candidates should demonstrate the ability to effectively communicate problems and solutions to diverse team members, coupled with good cross-team collaboration and communication skills. A willingness to learn and adapt to different technologies is also essential.",
Unity Engineer (Unity),Technology Consultant,Jakarta Pusat,Contract,1,1,Nomura Research Institute Indonesia,"Candidates should possess a strong proficiency in C# and demonstrate experience in mobile game development using Unity. Additionally, candidates should have a proven track record in developing AR applications for iOS and Android with Unity AR Foundation, as well as experience in creating VR applications with Unity. Proficiency in developing multiplayer online games using Unity is essential. Candidates should also showcase extensive knowledge in technical art within Unity, including lighting, post-processing, and shader development. Furthermore, candidates should have a solid understanding of UX or Game Design principles.",
DevOps Engineer (DevOps),Technology Consultant,Jakarta Pusat,Contract,1,2,Nomura Research Institute Indonesia,"Candidates should possess excellent knowledge of one of the major Cloud Service Providers: AWS, GCP, or Azure. Additionally, they should demonstrate proficiency in Docker and Kubernetes, as well as in using Git for version control. Working knowledge in Infrastructure as Code (IaC) platforms such as Terraform, Pulumi, and AWS CDK is required. Proficiency in one or more programming languages such as Go, Python, or TypeScript is necessary. Candidates should also have a working knowledge of Linux administration and relational databases like PostgreSQL, MySQL, and MariaDB. Familiarity with CI/CD tools such as AWS CodePipeline, GitLab CI, and Jenkins is essential. Additionally, candidates should have working knowledge in Public Key Infrastructure systems. Proficiency in English is required.",
Data Engineer (DE),Technology Consultant,Jakarta Pusat,Contract,1,2,Nomura Research Institute Indonesia,"Applicants should hold a Bachelor's degree in computer science or related fields, or possess equivalent software engineering experience. Proficiency in the Python programming language is essential, along with experience in dataset processing and feature engineering using tools like Numpy, Pandas, and Scikit-Learn. Candidates should demonstrate visualization skills utilizing tools such as Matplotlib, Seaborn, and Bokeh. An understanding of deep learning frameworks such as PyTorch and TensorFlow is necessary. Additionally, candidates should have familiarity with both SQL and NoSQL databases. Proficiency in technologies including Hadoop, Spark, Kafka, Hive, and Presto is expected. Candidates must also exhibit proficiency in source control, particularly Git.",
Scrum Master,Technology Consultant,Jakarta Pusat,Contract,1,1,Nomura Research Institute Indonesia,"The ideal candidate should possess extensive knowledge of agile methodologies and frameworks such as Scrum, Kanban, and XP, along with demonstrable experience in Scrum management. They should excel in stakeholder management, negotiation, and communication skills. Additionally, familiarity with web-based collaboration tools like Wrike, Trello, and Confluence is required.",
Test Engineer (TE),Technology Consultant,Jakarta Pusat,Contract,1,1,Nomura Research Institute Indonesia,"The ideal candidate will hold a Bachelor's Degree in Information Systems, Computer Science, or related fields, or possess equivalent professional experience in software testing. They should demonstrate working experience in both manual and automated testing for mobile/web applications and APIs, with specific knowledge and experience in mobile automation using Appium and web automation using Playwright. Additionally, proficiency in CI/CD pipeline automation, solid understanding of SQL, and familiarity with general cloud concepts and containerization using Docker are essential. Strong logical thinking, a good perspective on testing processes, and proficiency in using Git are required. The candidate should be capable of working independently within a project or collaboratively as part of a team.",
Professional Product Owner (PO),Technology Consultant,Jakarta Pusat,Contract,1,1,Nomura Research Institute Indonesia,"The ideal candidate should have 3+ years of Product Owner experience in a reputable software environment, demonstrating a strong ability to articulate product backlog acceptance criteria and break down large backlog items into manageable releases. They must possess extensive knowledge of agile methodologies and frameworks such as Scrum, Kanban, and XP, along with demonstrable experience in Scrum management. Additionally, the candidate should excel in presenting complex value propositions to various teams and exhibit strong cross-team collaboration and communication skills. Familiarity with web-based collaboration tools like Wrike, Trello, ClickUp, and Confluence is also essential.",
Microsoft 365 Specialist,Technology Consultant,Jakarta Pusat,Contract,1,2,Nomura Research Institute Indonesia,"The ideal candidate must demonstrate a proven track record of effectively managing a diverse range of service requirements and exhibit a strong passion for working with Microsoft 365 technologies. They should possess a minimum of 3 to 5 years of hands-on experience in Microsoft 365 technologies, particularly in driving user adoption within the Microsoft 365 ecosystem. Excellent problem-solving skills with a proactive and resourceful approach to challenges are essential, along with a solid understanding of the development process. The candidate should have advanced-level familiarity with the functions and creation of solutions in Microsoft 365, as well as medium to advanced-level PowerShell skills and advanced-level Microsoft 365 administration skills. Additionally, exceptional interpersonal skills and proficiency in English are required.",
Frontend Engineer (Flutter),Technology Consultant,Jakarta Pusat,Contract,1,2,Nomura Research Institute Indonesia,"The ideal candidate should demonstrate a strong proficiency in the Dart programming language and outstanding skills in the Flutter framework. They must possess a deep understanding of user-friendly experience and interface design principles and excel in app UI/UX development using Flutter, paying meticulous attention to detail. Additionally, the candidate should have extensive knowledge of utilizing RESTful APIs for data integration and be experienced in unit testing and writing testable code within the Flutter environment. Experience with state management solutions like MobX, Provider, Riverpod, or equivalents in Flutter is required, along with proficiency in version control systems, preferably Git.",
Project Manager,Jasa TI dan Konsultan IT,Jakarta Selatan,Contract,1,2,Adiraja Integrasi,"Applicants should possess a minimum of 2 years of experience in business or project management within the IT sector and hold a Bachelor's degree in Software Engineering, Computer Science, Electrical Engineering, or IT. Required skills include proficiency in project management, presentation, and team facilitation, along with familiarity with project management tools such as JIRA, Trello, MS Project, Excel, and PowerPoint. Attention to detail and an organized personality are essential attributes for potential candidates.",
Social Media Specialist / Digital Marketing,Technology,Jakarta Pusat,Full-time,0,2,PT VEF Solusi Indonesia,"Candidates should demonstrate proficiency in social media management, copywriting, content creation, and video & image editing.",
Full Stack Developer,Technology,Jakarta Pusat,Full-time,0,2,PT VEF Solusi Indonesia,"Proficiency in Python and JavaScript stacks, MySQL/MariaDB, Linux Ubuntu, and GitHub is required.",
